date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:30	67/67	---MC-	200	added ('OK')	text/plain	date:Fri,%2001%20Nov%202019%2017:24:27%20GMT	https://directorist.com/robots.txt		(from )
18:24:31	131414/131414	---MC-	200	added ('OK')	text/html	date:Fri,%2001%20Nov%202019%2017:24:28%20GMT	https://directorist.com/theme/demo/direo/	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/index.html	(from )
18:24:31	13877/13877	---M-Z	200	added ('OK')	text/css	etag:%223635-5962005144755-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/plans/assets/css/main.css?ver=1.2.1	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/plans/assets/css/main1576.css	(from https://directorist.com/theme/demo/direo/)
18:24:32	15238/15238	---M-Z	200	added ('OK')	text/css	etag:%223b86-595aa4dff0fae-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/directorist/public/assets/css/select2.min.css?ver=5.9.2	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/directorist/public/assets/css/select2.min6dcf.css	(from https://directorist.com/theme/demo/direo/)
18:24:32	33095/33095	---MC-	200	added ('OK')	application/rss+xml	etag:%220cce4dbf0e9569171fd4567647be7457%22	https://directorist.com/theme/demo/direo/feed/	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/feed/index.html	(from https://directorist.com/theme/demo/direo/)
18:24:32	86297/86297	---MCZ	200	added ('OK')	text/css	etag:%2215119-595aa4dff0fae-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/directorist/public/assets/css/bootstrap.css?ver=5.9.2	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/directorist/public/assets/css/bootstrap6dcf.css	(from https://directorist.com/theme/demo/direo/)
18:24:32	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%22791c-595aa4dff07de-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/directorist/public/assets/css/font-awesome.min.css?ver=5.9.2	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/directorist/public/assets/css/font-awesome.min6dcf.css	(from https://directorist.com/theme/demo/direo/)
18:24:32	4122/4122	---MC-	200	added ('OK')	application/rss+xml	etag:%220e946d920d7a1e5cc757a8ed9a15a947%22	https://directorist.com/theme/demo/direo/comments/feed/	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/comments/feed/index.html	(from https://directorist.com/theme/demo/direo/)
18:24:32	28115/28115	---M-Z	200	added ('OK')	text/css	etag:%226dd3-595aa4dff0fae-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/directorist/public/assets/css/line-awesome.min.css?ver=5.9.2	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/directorist/public/assets/css/line-awesome.min6dcf.css	(from https://directorist.com/theme/demo/direo/)
18:24:32	196531/196531	---MCZ	200	added ('OK')	text/css	etag:%222ffb3-595aa4dff1396-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/directorist/public/assets/css/style.css?ver=5.9.2	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/directorist/public/assets/css/style6dcf.css	(from https://directorist.com/theme/demo/direo/)
18:24:33	2956/2956	---M-Z	200	added ('OK')	text/css	etag:%22b8c-595aa4dff0fae-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/directorist/public/assets/css/atmodal.css?ver=5.9.2	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/directorist/public/assets/css/atmodal6dcf.css	(from https://directorist.com/theme/demo/direo/)
18:24:33	2760/2760	---M-Z	200	added ('OK')	text/css	etag:%22ac8-591c719cfe377-gzip%22	https://directorist.com/theme/demo/direo/wp-admin/css/color-picker.min.css?ver=5.2.4	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-admin/css/color-picker.min4d2c.css	(from https://directorist.com/theme/demo/direo/)
18:24:33	29295/29295	---M-Z	200	added ('OK')	text/css	etag:%22726f-5885dc2050c00-gzip%22	https://directorist.com/theme/demo/direo/wp-includes/css/dist/block-library/style.min.css?ver=5.2.4	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-includes/css/dist/block-library/style.min4d2c.css	(from https://directorist.com/theme/demo/direo/)
18:24:33	14729/14729	---M-Z	200	added ('OK')	text/css	etag:%223989-59565b2b90834-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.3.0	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/stylea1ec.css	(from https://directorist.com/theme/demo/direo/)
18:24:34	1685/1685	---M-Z	200	added ('OK')	text/css	etag:%22695-58f88f6d127e0-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.4	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/contact-form-7/includes/css/styles58e0.css	(from https://directorist.com/theme/demo/direo/)
18:24:34	2749/2749	---M-Z	200	added ('OK')	text/css	etag:%22abd-5962005144f25-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/business-hours//assets/css/bh-main.css?ver=5.2.4	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/business-hours/assets/css/bh-main4d2c.css	(from https://directorist.com/theme/demo/direo/)
